item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q1658821,Marc Bonilla,American musician,M00000048022
http://www.wikidata.org/entity/Q1660965,Jean Mouton,French composer,M00000238706
http://www.wikidata.org/entity/Q1666539,Wolfgang Ziegler,German composer,M00000108220
http://www.wikidata.org/entity/Q1669362,Johann Baptist Gänsbacher,Austrian composer (1778-1844),M00000237447
http://www.wikidata.org/entity/Q1672484,Irene Becker,Danish pianist and music educator,M00000291027
http://www.wikidata.org/entity/Q1674427,Viktor Keldorfer,Austrian composer and choir director,M00000287987
http://www.wikidata.org/entity/Q1674762,Issachar Miron,Israeli composer (1920–2015),M00000504416
http://www.wikidata.org/entity/Q775548,Aurelio Bonelli,Italian composer,M00000280940
http://www.wikidata.org/entity/Q777224,Irwin Bazelon,American composer,M00000235947
http://www.wikidata.org/entity/Q779451,Vladislav Delay,Finnish musician,M00000112343
http://www.wikidata.org/entity/Q780741,Euge Groove,American musical artist,M00000148185
http://www.wikidata.org/entity/Q785961,Esaias Reusner,German lutenist and composer (1636-1679),M00000239126
http://www.wikidata.org/entity/Q786954,Eyvind Alnæs,"Norwegian composer, pianist, organist, and choir director",M00000049644
http://www.wikidata.org/entity/Q788482,Bobo Stenson,Swedish jazz pianist,M00000275689
http://www.wikidata.org/entity/Q792377,Axel Stordahl,"American arranger, orchestra leader",M00000035717
http://www.wikidata.org/entity/Q803770,Baikida Carroll,American musician,M00000046718
http://www.wikidata.org/entity/Q804824,Balduin Sulzer,Austrian composer and priest,M00000288568
http://www.wikidata.org/entity/Q776577,Jorge Arriagada,Chilean musician,M00000363143
http://www.wikidata.org/entity/Q778245,Benvenuto Terzi,Italian composer,M00000329515
http://www.wikidata.org/entity/Q781703,Lady Linn,Belgian jazz singer,M00000300225
http://www.wikidata.org/entity/Q788503,Pete Carpenter,"American jazz trombonist, music arranger, and composer (1914-1987)",M00000365479
http://www.wikidata.org/entity/Q808673,Bingen Mendizábal,Spanish composer,M00000189653
http://www.wikidata.org/entity/Q809501,Bartolomeo Laurenti,"Bartolomeo Girolamo Laurenti; b. 1644, Bologna, d. Jan. 18, 1726, Bologna; composer and violinist",M00000275489
http://www.wikidata.org/entity/Q809502,Bartolomeo Montalbano,Italian composer,M00000282854
http://www.wikidata.org/entity/Q810443,Tannhäuser,"German poet, composer and writer",M00000281578
http://www.wikidata.org/entity/Q816403,Ben-Zion Orgad,Israeli composer (1926-2006),M00000283912
http://www.wikidata.org/entity/Q818109,Benoît Delbecq,"French jazz pianist, composer and educator",M00000081763
http://www.wikidata.org/entity/Q823213,Caspar Kittel,German musician and composer,M00000267726
http://www.wikidata.org/entity/Q824380,Bernd Wefelmeyer,German composer and conductor,M00000280221
http://www.wikidata.org/entity/Q825368,Bernhard Joachim Hagen,German musician,M00000263236
http://www.wikidata.org/entity/Q825749,Bernhard Potschka,"German composer, musician",M00000017325
http://www.wikidata.org/entity/Q830278,Herbert Baumann,German composer,M00000235933
http://www.wikidata.org/entity/Q830877,Carl Bohm,German composer,M00000236219
http://www.wikidata.org/entity/Q841277,Debelah Morgan,American musician,M00000087845
http://www.wikidata.org/entity/Q851529,Ginette Reno,"Musician, actress",M00000009480
http://www.wikidata.org/entity/Q851722,Beverly Crawford,African American gospel vocalist,M00000077119
http://www.wikidata.org/entity/Q863081,"Billy ""The Kid"" Emerson",American musician (1925-2023),M00000088185
http://www.wikidata.org/entity/Q863139,Billy Jim Layton,American composer,M00000330018
http://www.wikidata.org/entity/Q867007,Dave Audé,"American DJ, producer and remixer",M00000113121
http://www.wikidata.org/entity/Q871050,Friedrich Witt,German composer and cellist,M00000239946
http://www.wikidata.org/entity/Q873436,Paul Hainlein,German composer,M00000479612
http://www.wikidata.org/entity/Q873859,Georg Friedrich Kauffmann,German composer and organist,M00000250129
http://www.wikidata.org/entity/Q874756,Karl Kohaut,"Czech violinist, composer and luteist",M00000238113
http://www.wikidata.org/entity/Q878871,Carl Amand Mangold,German composer and conductor,M00000246725
http://www.wikidata.org/entity/Q879135,Willy Berking,German composer and conductor,M00000018673
http://www.wikidata.org/entity/Q879793,Michael Hoenig,German composer,M00000056040
http://www.wikidata.org/entity/Q879799,Bjørn Alterhaug,Bass player,M00000350394
http://www.wikidata.org/entity/Q881741,Blas Galindo,"Mexican composer from San Gabriel, Jalisco (1910-1993)",M00000237454
http://www.wikidata.org/entity/Q892997,Booker Little,American jazz musician,M00000020304
http://www.wikidata.org/entity/Q892998,Booker Ervin,American saxophonist (1930–1970),M00000010712
http://www.wikidata.org/entity/Q893684,Boris Tishchenko,Soviet composer,M00000239688
http://www.wikidata.org/entity/Q895496,Otto Lessmann,German composer,M00000466284
http://www.wikidata.org/entity/Q895578,Werner Heider,"German composer, pianist and conductor",M00000237712
http://www.wikidata.org/entity/Q896096,Boz Boorer,British musician,M00000326911
http://www.wikidata.org/entity/Q896873,Brad Turner,Canadian composer and jazz trumpeter,M00000329997
http://www.wikidata.org/entity/Q896948,Rolf Riehm,German composer and oboist,M00000239149
http://www.wikidata.org/entity/Q897065,Zoltán Jeney,Hungarian composer,M00000237921
http://www.wikidata.org/entity/Q897494,Gábor Darvas,Hungarian musician,M00000236910
http://www.wikidata.org/entity/Q899339,Meco,American musician,M00000098243
http://www.wikidata.org/entity/Q903592,Jon Hopkins,English electronic musician and producer,M00000152532
http://www.wikidata.org/entity/Q918479,Luigi Arditi,"Italian composer, conductor",M00000000182
http://www.wikidata.org/entity/Q936001,Fikret Amirov,Azerbaijani Soviet composer (1922–1984),M00000000122
http://www.wikidata.org/entity/Q910969,Barnabás Dukay,"Hungarian composer, music educator and university professor",M00000263861
http://www.wikidata.org/entity/Q918848,Harry McClintock,American musician,M00000068720
http://www.wikidata.org/entity/Q919008,Gian Piero Reverberi,"Italian composer, orchestra leader, music arranger, pianist; naturalized Swiss citizen",M00000313811
http://www.wikidata.org/entity/Q920564,Giovanni Croce,Italian composer,M00000269959
http://www.wikidata.org/entity/Q921204,Walter Becker,"American musician, songwriter, and record producer",M00000092118
http://www.wikidata.org/entity/Q922961,Jukka Tolonen,Finnish musician,M00000062638
http://www.wikidata.org/entity/Q923335,Ton de Leeuw,Dutch composer,M00000238294
http://www.wikidata.org/entity/Q923399,Gianandrea Gavazzeni,Italian conductor,M00000242538
http://www.wikidata.org/entity/Q924492,Para One,French record producer and film director,M00000140585
http://www.wikidata.org/entity/Q925459,Buddy Johnson,American jazz and New York blues pianist and bandleader,M00000056670
http://www.wikidata.org/entity/Q926744,Domenico Mazzocchi,Italian composer,M00000266984
http://www.wikidata.org/entity/Q927450,Teddy Riley,American musician and record producer,M00000042641
http://www.wikidata.org/entity/Q931038,Paolo Pandolfo,Italian musician,M00000248981
http://www.wikidata.org/entity/Q931440,Don Drummond,Jamaican ska trombonist and composer (1932-1969),M00000071508
http://www.wikidata.org/entity/Q931581,Charles Sanford Skilton,"American composer, teacher and musicologist (1868-1941)",M00000255082
http://www.wikidata.org/entity/Q931918,Norrie Paramor,English record producer,M00000057895
http://www.wikidata.org/entity/Q932049,Henri Seroka,Belgian singer and composer,M00000022784
http://www.wikidata.org/entity/Q933598,D'Angelo,American musician,M00000090592
http://www.wikidata.org/entity/Q933913,Iván Fischer,Hungarian conductor and composer,M00000243877
http://www.wikidata.org/entity/Q935424,Guglielmo Gonzaga,Duke of Mantua and Montferrat (1538–1587),M00000485473
http://www.wikidata.org/entity/Q935576,Jacob Young,Jazz guitarist,M00000192353
http://www.wikidata.org/entity/Q945778,Chuck Mangione,American jazz musician,M00000024760
http://www.wikidata.org/entity/Q946839,Lodovico Agostini,"Italian composer, singer",M00000000038
http://www.wikidata.org/entity/Q952656,Paul Kelly,"Australian rock music singer-songwriter, guitarist, and harmonica player, born 1955",M00000019160
http://www.wikidata.org/entity/Q959159,Jamie Walters,American entertainer,M00000021308
http://www.wikidata.org/entity/Q960271,David Fiuczynski,American musician,M00000048763
http://www.wikidata.org/entity/Q963044,Allen Toussaint,"American musician, songwriter and record producer (1938–2015)",M00000009247
http://www.wikidata.org/entity/Q323609,Makoto Shinohara,Japanese composer,M00000239440
http://www.wikidata.org/entity/Q323613,Frederick Converse,American classical music composer (1871-1940),M00000267385
http://www.wikidata.org/entity/Q324155,David Petersen,Dutch composer,M00000238937
http://www.wikidata.org/entity/Q324705,Peter Herman Adler,Czech conductor (1899-1990),M00000387129
http://www.wikidata.org/entity/Q326201,Jack Dangers,British musician,M00000162181
http://www.wikidata.org/entity/Q326604,Dave Sardy,"American composer, musician, songwriter, and record producer",M00000314327
http://www.wikidata.org/entity/Q326918,Aki Aleong,Trinidadian-American actor,M00000116098
http://www.wikidata.org/entity/Q327719,Luigi Ferdinando Tagliavini,Italian musician,M00000246311
http://www.wikidata.org/entity/Q327875,Charles-Hubert Gervais,French composer,M00000332095
http://www.wikidata.org/entity/Q328112,Carlo Mannelli,"Italian violinist, castrato and composer (1640-1697)",M00000246141
http://www.wikidata.org/entity/Q328453,The Thrillseekers,English DJ and record producer,M00000109323
http://www.wikidata.org/entity/Q328560,Marc-André Dalbavie,French composer,M00000254021
http://www.wikidata.org/entity/Q328637,Billy Goldenberg,American composer and songwriter (1936-2020),M00000079837
http://www.wikidata.org/entity/Q328665,Jake Holmes,American singer-songwriter and jingle writer,M00000099638
http://www.wikidata.org/entity/Q328948,George McAnthony,Italian country singer,M00000322487
http://www.wikidata.org/entity/Q329054,Dalibor Cyril Vačkář,Czech composer,M00000239763
http://www.wikidata.org/entity/Q329764,Francisco Guerrero Marín,Spanish composer,M00000266210
http://www.wikidata.org/entity/Q329963,Abraham Ellstein,American composer (1907-1963),M00000284660
http://www.wikidata.org/entity/Q330447,James Rado,"American actor, playwright, director, writer and composer",M00000343577
http://www.wikidata.org/entity/Q330730,Daniel Chorzempa,American musician,M00000255086
http://www.wikidata.org/entity/Q335579,Omar Rodríguez-López,American musician and record producer,M00000202428
http://www.wikidata.org/entity/Q330244,Alfred Jaëll,Austrian pianist,M00000450731
http://www.wikidata.org/entity/Q331123,W. Franke Harling,British-American composer (1887-1958),M00000519288
http://www.wikidata.org/entity/Q338195,Pierre Villette,French composer,M00000248437
http://www.wikidata.org/entity/Q339261,Patrick Abrial,French singer and composer,M00000076991
http://www.wikidata.org/entity/Q340168,Ludwig Milde,German musician,M00000284271
http://www.wikidata.org/entity/Q340527,Noa,Israeli singer,M00000078160
http://www.wikidata.org/entity/Q342543,Vittorio Monti,"Italian composer, violinist, and conductor (1868-1922)",M00000240237
http://www.wikidata.org/entity/Q343940,Maki Ishii,Japanese composer (1936-2003),M00000237876
http://www.wikidata.org/entity/Q345446,Ernesto Lecuona,Cuban composer (1896-1963),M00000248310
http://www.wikidata.org/entity/Q345949,Ulvi Cemal Erkin,Turkish composer,M00000237268
http://www.wikidata.org/entity/Q346354,Marco Ambrosini,composer,M00000263763
http://www.wikidata.org/entity/Q346768,Teddy Charles,American jazz musician and composer,M00000006729
http://www.wikidata.org/entity/Q347384,Adalbert Gyrowetz,Czech composer,M00000237632
http://www.wikidata.org/entity/Q348155,John Shanks,American songwriter and record producer,M00000306497
http://www.wikidata.org/entity/Q349041,Afrojack,Dutch DJ and record producer,M00000292489
http://www.wikidata.org/entity/Q349093,Kip Hanrahan,"American jazz music impresario, record producer and percussionist",M00000024286
http://www.wikidata.org/entity/Q349170,Adam Drese,German composer and bass viol player,M00000287739
http://www.wikidata.org/entity/Q349591,Adam Green,American singer-songwriter,M00000160001
http://www.wikidata.org/entity/Q349847,Adam Jarzębski,Polish composer,M00000237913
http://www.wikidata.org/entity/Q351383,Bruno Maderna,Italian conductor and composer (1920-1973),M00000238455
http://www.wikidata.org/entity/Q351878,Thomas Tellefsen,Norwegian pianist and composer,M00000288707
http://www.wikidata.org/entity/Q351977,Peter Thorup,Danish musician,M00000178616
http://www.wikidata.org/entity/Q352452,Robb Flynn,American guitarist and vocalist,M00000179472
http://www.wikidata.org/entity/Q352783,Colin Towns,English composer,M00000078839
http://www.wikidata.org/entity/Q353297,Henri-Jacques de Croes,"Flemish composer, Kapellmeister and violinist",M00000236936
http://www.wikidata.org/entity/Q353587,Les Brown,American bandleader,M00000100039
http://www.wikidata.org/entity/Q353788,Bernie Taupin,British songwriter,M00000045972
http://www.wikidata.org/entity/Q355411,Luca Turilli,"Italian musician, composer and producer",M00000112674
http://www.wikidata.org/entity/Q355978,Antal Doráti,Hungarian-born conductor and composer (1906–1988),M00000237088
http://www.wikidata.org/entity/Q356176,Joe Newman,American musician,M00000059312
http://www.wikidata.org/entity/Q356745,Billy Ocean,British singer,M00000291338
http://www.wikidata.org/entity/Q356804,George Crumb,American composer (1929-2022),M00000236853
http://www.wikidata.org/entity/Q356953,Antonio de Cabezón,Spanish composer and organist (1510-1566),M00000236522
http://www.wikidata.org/entity/Q357455,Ray Davies,British singer and musician,M00000078382
http://www.wikidata.org/entity/Q358623,Lodewijk Mortelmans,Belgian composer (1868-1952),M00000238688
http://www.wikidata.org/entity/Q358750,Gianluca Petrella,Italian jazz trombonist,M00000166570
http://www.wikidata.org/entity/Q360410,Riccardo Rognoni,Italian violinist,M00000285651
http://www.wikidata.org/entity/Q361642,Marek Grechuta,Polish singer and composer (1945-2006),M00000127581
http://www.wikidata.org/entity/Q362353,Vincent Gallo,"American film director, writer, model, actor and musician",M00000127300
http://www.wikidata.org/entity/Q362411,Evencio Castellanos,Venezuelan composer,M00000316950
http://www.wikidata.org/entity/Q362737,Wilbur de Paris,American musician,M00000008108
http://www.wikidata.org/entity/Q362798,Adolf Jensen,"German pianist, composer and music teacher",M00000237924
http://www.wikidata.org/entity/Q362915,Pierre Danican Philidor,"French oboist, composer and viol player",M00000238962
http://www.wikidata.org/entity/Q363867,Frankie Carle,American pianist and bandleader,M00000143242
http://www.wikidata.org/entity/Q364869,Mel Collins,British musician,M00000138101
http://www.wikidata.org/entity/Q339117,André da Silva Gomes,Brazilian composer,M00000468994
http://www.wikidata.org/entity/Q342604,Idris Elba,British actor (born 1972),M00000373557
http://www.wikidata.org/entity/Q347096,Ferdinand Kauer,Czech composer,M00000379744
http://www.wikidata.org/entity/Q359485,Ally Kerr,British singer,M00000380737
http://www.wikidata.org/entity/Q362885,Adolph Carl Kunzen,German composer,M00000358541
http://www.wikidata.org/entity/Q365071,Adolfo Fumagalli,Italian pianist and composer (1828-1856),M00000438630
http://www.wikidata.org/entity/Q366137,Iver Kleive,"Norwegian pianist, organist, conductor, composer",M00000275179
http://www.wikidata.org/entity/Q367201,Mike Francis,Italian singer and composer (1961-2009),M00000053935
http://www.wikidata.org/entity/Q367830,Tikhon Khrennikov,Russian Soviet composer (1913-2007),M00000238043
http://www.wikidata.org/entity/Q368393,Eberhard Weber,German musician,M00000256255
http://www.wikidata.org/entity/Q369916,Charlemagne Palestine,American visual artist and musician,M00000238873
http://www.wikidata.org/entity/Q370512,Johannes Tinctoris,Flemish composer,M00000255479
http://www.wikidata.org/entity/Q370711,Sébastien Tellier,club DJ from France (1975-),M00000137892
http://www.wikidata.org/entity/Q371202,Big Boi,American rapper,M00000106222
http://www.wikidata.org/entity/Q371277,Pierre Leemans,Belgian composer (1897-1980),M00000284686
http://www.wikidata.org/entity/Q371277,Pierre Leemans,Belgian composer (1897-1980),M00000433161
http://www.wikidata.org/entity/Q371740,Hans von Koessler,German composer,M00000300168
http://www.wikidata.org/entity/Q372428,Daniel Purcell,"English composer, the younger brother or cousin of Henry Purcell.",M00000239051
http://www.wikidata.org/entity/Q373770,Johann Simon Mayr,German composer (1763–1845),M00000238566
http://www.wikidata.org/entity/Q373819,Carl Teike,German composer,M00000283138
http://www.wikidata.org/entity/Q374750,Paul Schoenfield,American composer,M00000274512
http://www.wikidata.org/entity/Q375015,Biagio Antonacci,Italian singer,M00000115505
http://www.wikidata.org/entity/Q375477,Ioan Ivanovici,Romanian military band leader and composer,M00000282055
http://www.wikidata.org/entity/Q377071,Edgar Tinel,Belgian composer and pianist (1854-1912),M00000246404
http://www.wikidata.org/entity/Q377768,Bernard Foccroulle,Organist and composer,M00000247438
http://www.wikidata.org/entity/Q381883,Aesop Rock,American rapper and producer,M00000154455
http://www.wikidata.org/entity/Q382700,Brett Dean,"Australian composer, conductor",M00000250993
http://www.wikidata.org/entity/Q383784,Warren Ellis,Australian musician and composer,M00000223334
http://www.wikidata.org/entity/Q385498,Martinho da Vila,Brazilian musician,M00000316535
http://www.wikidata.org/entity/Q385608,Zara Levina,Ukrainian composer and pianist,M00000489742
http://www.wikidata.org/entity/Q388259,Liam Howlett,"British musician, DJ and record producer",M00000357871
http://www.wikidata.org/entity/Q388320,Avishai Cohen,"Israeli jazz bassist, composer, singer and arranger",M00000057590
http://www.wikidata.org/entity/Q391040,David Reinhardt,French composer,M00000313213
http://www.wikidata.org/entity/Q391589,Eliel Lazo,musician,M00000233480
http://www.wikidata.org/entity/Q1183745,Naji Hakim,"Lebanese-French composer, organist and improviser",M00000248320
http://www.wikidata.org/entity/Q1187398,Denis Gougeon,Canadian composer,M00000258481
http://www.wikidata.org/entity/Q1201437,Detlev Glanert,German opera composer,M00000245960
http://www.wikidata.org/entity/Q1209700,Dick Higgins,English composer and poet (1938-1998),M00000466402
http://www.wikidata.org/entity/Q1209861,Dick le Mair,Dutch composer and record producer,M00000086795
http://www.wikidata.org/entity/Q1210556,Didier Levallet,French musician,M00000055371
http://www.wikidata.org/entity/Q1210577,Didier Rimaud,French composer and poet,M00000215481
http://www.wikidata.org/entity/Q1224484,Tiberiu Olah,Romanian-Hungarian composer,M00000238819
http://www.wikidata.org/entity/Q1227728,Dirk-Peter Kölsch,German composer,M00000322148
http://www.wikidata.org/entity/Q1227828,Dirk d' Ase,Austrian composer,M00000331443
http://www.wikidata.org/entity/Q1230392,Francesco Corteccia,Italian composer (1502-1571),M00000236807
http://www.wikidata.org/entity/Q1232308,Thom Pace,American musician,M00000001021
http://www.wikidata.org/entity/Q1238180,Mel Tillis,American country music singer and musician (1932-2017),M00000015820
http://www.wikidata.org/entity/Q1263396,Robert Schröder,German composer,M00000053256
http://www.wikidata.org/entity/Q1265451,Duncan Sheik,American singer-songwriter and composer,M00000048246
http://www.wikidata.org/entity/Q1237126,Domenico Dall'Oglio,Italian violinist and composer,M00000252629
http://www.wikidata.org/entity/Q1239278,Sanna van Vliet,Dutch jazz musician,M00000295123
http://www.wikidata.org/entity/Q1244986,Dorian Le Gallienne,Australian composer,M00000363258
http://www.wikidata.org/entity/Q1245819,Eric Thiman,British composer,M00000374649
http://www.wikidata.org/entity/Q1246118,Lombarda,trobairitz from Toulouse,M00000136198
http://www.wikidata.org/entity/Q1246203,José de Nebra,Spanish composer,M00000271779
http://www.wikidata.org/entity/Q1247782,Ulla van Daelen,German composer,M00000246581
http://www.wikidata.org/entity/Q1247955,Kathleen Lockhart Manning,American composer,M00000450223
http://www.wikidata.org/entity/Q1250193,Fridrich Bruk,Finnish composer,M00000289024
http://www.wikidata.org/entity/Q1254772,Yannis Ioannidis,Greek musician,M00000192458
http://www.wikidata.org/entity/Q1258147,Albert Benz,"Swiss composer, conductor and musicologist (1927-1988)",M00000251588
http://www.wikidata.org/entity/Q1273534,Vladimir Tarasov,Russian composer,M00000200725
http://www.wikidata.org/entity/Q1277150,Earl Robinson,American singer-songwriter and composer (1910-1991),M00000157552
http://www.wikidata.org/entity/Q1282768,Eddie Duran,American jazz guitarist,M00000088379
http://www.wikidata.org/entity/Q1287616,Edouard Silas,Dutch composer,M00000239450
http://www.wikidata.org/entity/Q1289335,Edvard Mirzoyan,Armenian composer of Georgian birth (1921-2012),M00000240648
http://www.wikidata.org/entity/Q1289468,Eduard Nápravník,Czech conductor and composer,M00000238743
http://www.wikidata.org/entity/Q1295870,Maurice White,"American musician, founder of Earth, Wind & Fire (1941-2016)",M00000016890
http://www.wikidata.org/entity/Q1301065,Grant Geissman,American jazz guitarist and Emmy-nominated composer,M00000057176
http://www.wikidata.org/entity/Q1313717,Manolis Chiotis,Greek musician,M00000086982
http://www.wikidata.org/entity/Q1316803,Richard Landry,American musician,M00000103106
http://www.wikidata.org/entity/Q1274305,Kerry Mills,American ragtime composer and music publishing executive,M00000500727
http://www.wikidata.org/entity/Q1280917,James Reese Europe,American jazz musician and United States Army officer,M00000281290
http://www.wikidata.org/entity/Q1287360,Giuseppe Colombi,"musician, composer",M00000314437
http://www.wikidata.org/entity/Q1290689,Mari Vihmand,Estonian composer,M00000303219
http://www.wikidata.org/entity/Q1297786,Felix Falk,German composer,M00000375244
http://www.wikidata.org/entity/Q1306282,Frederic Austin,"British opera singer, teacher and composer (1872-1952)",M00000274891
http://www.wikidata.org/entity/Q1320871,Gordon Kampe,German composer,M00000388910
http://www.wikidata.org/entity/Q1321465,Eivind Aarset,Norwegian guitarist,M00000066510
http://www.wikidata.org/entity/Q1323452,Nathanael Schnittelbach,German composer (1633-1667),M00000287740
http://www.wikidata.org/entity/Q1333051,Elmo Hope,"American jazz pianist, composer, and arranger (1923-1967)",M00000076308
http://www.wikidata.org/entity/Q1333954,Jonathan Dove,English composer (1959- ),M00000275612
http://www.wikidata.org/entity/Q1334295,Howard Ashman,American playwright and lyricist (1950-1991),M00000366669
http://www.wikidata.org/entity/Q1336126,Nickodemus,"American disc jockey, composer and music producer",M00000136310
http://www.wikidata.org/entity/Q1343144,Ramses Shaffy,Dutch-French singer and actor,M00000062787
http://www.wikidata.org/entity/Q1344113,Manuel Rosenthal,French composer and conductor (1904-2003),M00000239204
http://www.wikidata.org/entity/Q1344676,Raffaele Calace,Italian musician,M00000242714
http://www.wikidata.org/entity/Q1345338,Tyler Bates,"American musician, music producer, film score composer",M00000142093
http://www.wikidata.org/entity/Q1346384,Jimmy Yancey,"African American boogie-woogie pianist, composer, and lyricist",M00000017499
http://www.wikidata.org/entity/Q1348195,Louis-Emmanuel Jadin,French composer,M00000237895
http://www.wikidata.org/entity/Q1349069,John Antill,Australian composer,M00000000165
http://www.wikidata.org/entity/Q1349443,Juan Gutiérrez de Padilla,Mexican composer,M00000256429
http://www.wikidata.org/entity/Q1349745,Larry Norman,American musician,M00000018489
http://www.wikidata.org/entity/Q1350654,Joseph Labitzky,"Bohemian violinist, conductor and composer",M00000287788
http://www.wikidata.org/entity/Q1351126,Naftule Brandwein,American klezmer musician,M00000084982
http://www.wikidata.org/entity/Q1353559,Mort Shuman,"American singer, pianist and songwriter",M00000081852
http://www.wikidata.org/entity/Q1353562,François de Roubaix,French composer (1939-1975),M00000035649
http://www.wikidata.org/entity/Q1356732,Ernesto Elorduy,Mexican composer and pianist (1853-1913),M00000286517
http://www.wikidata.org/entity/Q1356952,Fabio Vacchi,Italian composer,M00000258662
http://www.wikidata.org/entity/Q1357516,Vyacheslav Ovchinnikov,"Soviet and Russian composer, conductor",M00000238848
http://www.wikidata.org/entity/Q1357971,Luigi Archetti,Italian composer,M00000187252
http://www.wikidata.org/entity/Q1358154,Ernst Friedrich Kauffmann,German composer,M00000275982
http://www.wikidata.org/entity/Q1361174,Jacques Widerkehr,Alsatian composer,M00000261099
http://www.wikidata.org/entity/Q1361323,Jaz Coleman,English singer and musician,M00000196555
http://www.wikidata.org/entity/Q1361895,Feliks Janiewicz,Polish composer and violinist,M00000275038
http://www.wikidata.org/entity/Q1362831,Samuel Rohrer,"Swiss jazz drummer, electronic musician and music producer",M00000291847
http://www.wikidata.org/entity/Q1362908,Karl Ratzer,Austrian composer,M00000059642
http://www.wikidata.org/entity/Q1362970,Erwin Grosse,German composer (1904-1982),M00000372539
http://www.wikidata.org/entity/Q1363683,Paul Horn,American flautist in jazz and New Age music (1930-2014),M00000067925
http://www.wikidata.org/entity/Q1364120,Kenny Ball,"English trumpeter, band leader, arranger (1930-2013)",M00000054400
http://www.wikidata.org/entity/Q1364255,Ismael Rivera,Puerto Rican singer,M00000039295
http://www.wikidata.org/entity/Q1364604,Osvaldo Fresedo,Argentine musician,M00000092799
http://www.wikidata.org/entity/Q1367518,Leigh Harline,American film composer and songwriter (1907-1969),M00000383906
http://www.wikidata.org/entity/Q1369108,Roberto Sierra,Puerto Rican composer,M00000239447
http://www.wikidata.org/entity/Q1369375,Joji Yuasa,Japanese composer (1929-),M00000240008
http://www.wikidata.org/entity/Q1370015,František Tůma,Czech composer,M00000239739
http://www.wikidata.org/entity/Q1370114,Slam Stewart,American musician,M00000020990
http://www.wikidata.org/entity/Q1370288,George Duvivier,American musician,M00000206929
http://www.wikidata.org/entity/Q1371884,Franco Ferrara,Italian composer,M00000286458
http://www.wikidata.org/entity/Q1374217,Philip Rosseter,English composer and musician,M00000280057
http://www.wikidata.org/entity/Q1374309,Lars Gullin,Swedish musician,M00000398839
http://www.wikidata.org/entity/Q1374696,Kazuo Fukushima,Japanese composer and musicologist,M00000237429
http://www.wikidata.org/entity/Q1374725,Pietro Andrea Ziani,Italian organist and composer,M00000265303
http://www.wikidata.org/entity/Q1374887,Georges Ulmer,French actor-singer,M00000095354
http://www.wikidata.org/entity/Q1375025,Trummy Young,American jazz trombonist,M00000030705
http://www.wikidata.org/entity/Q1375794,Karel Mengelberg,Dutch composer and conductor,M00000238590
http://www.wikidata.org/entity/Q1379426,Ray Drummond,American jazz musician,M00000064207
http://www.wikidata.org/entity/Q1380105,Manolo Sanlúcar,Flamenco composer and guitarist,M00000044874
http://www.wikidata.org/entity/Q1380313,Alkinoos Ioannidis,Greek Cypriot singer and musician,M00000395928
http://www.wikidata.org/entity/Q1380592,Krzysztof Krawczyk,Polish singer (1946-2021),M00000317421
http://www.wikidata.org/entity/Q1381379,Frank Mills,Canadian pop pianist,M00000100166
http://www.wikidata.org/entity/Q1381853,Franz Xaver Neruda,moravian-danish composer,M00000281491
http://www.wikidata.org/entity/Q1382233,Pharoahe Monch,American rapper and record producer,M00000104551
http://www.wikidata.org/entity/Q1382335,Evgeni Orkin,Ukrainian composer,M00000356502
http://www.wikidata.org/entity/Q1382555,Norman Granz,American jazz musician and producer (1918-2001),M00000113364
http://www.wikidata.org/entity/Q1676821,Jabbo Smith,American musician (1908-1991),M00000086398
http://www.wikidata.org/entity/Q1679089,Johann Heinrich Lützel,German composer,M00000412168
http://www.wikidata.org/entity/Q1689312,Jimmy Barnes,Scottish-Australian singer,M00000000590
http://www.wikidata.org/entity/Q1681314,James Wilson,Irish composer (1922-2005),M00000267275
http://www.wikidata.org/entity/Q1681637,Jan Blockx,"Belgian composer, pianist and teacher",M00000236177
http://www.wikidata.org/entity/Q1682431,Jan van Dijk,Dutch composer and pianist (1918-2016),M00000237038
http://www.wikidata.org/entity/Q1684393,Michael Rische,German composer and pianist,M00000242745
http://www.wikidata.org/entity/Q1684913,Jean-Jacques Grunenwald,"French organist, composer, architect, and pedagogue (1911-1982)",M00000263911
http://www.wikidata.org/entity/Q1685415,Jean Cartan,French composer,M00000236593
http://www.wikidata.org/entity/Q1688098,Uroš Rojko,Slovene composer and university teacher,M00000256883
http://www.wikidata.org/entity/Q1689383,Jimmy Kelly,"Irish-American singer, musician, and composer",M00000099833
http://www.wikidata.org/entity/Q1689400,Jimmy Mundy,"American jazz tenor saxophonist, arranger, and composer (1907-1983)",M00000114871
http://www.wikidata.org/entity/Q1689596,Alo Põldmäe,Estonian composer,M00000243582
http://www.wikidata.org/entity/Q1691159,Jochen Rückert,American-German drummer and composer,M00000092754
http://www.wikidata.org/entity/Q1691370,Joe Daley,"American educator, jazz musician, composer and arranger who plays tuba, trombone and euphonium",M00000370687
http://www.wikidata.org/entity/Q1693069,Johann Christoph Schmügel,German composer,M00000296224
http://www.wikidata.org/entity/Q1693796,Johann Georg Conradi,German opera composer,M00000236771
http://www.wikidata.org/entity/Q1695871,Johann Philipp Käfer,German composer and organist (1672-1728),M00000456536
http://www.wikidata.org/entity/Q1696141,Johann Schneider,German composer (1702-1788),M00000262060
